player,wickets,balls_bowled,matches,bowling_economy,bowling_avg,bowling_strike_rate,catches,stumpings
A Ashish Reddy,18.0,270.0,28,8.89,22.22,15.0,8.0,0.0
A Badoni,2.0,12.0,11,6.0,6.0,6.0,8.0,0.0
A Chandila,11.0,234.0,12,6.28,22.27,21.27,2.0,0.0
A Chopra,0.0,0.0,6,0.0,0.0,0.0,2.0,0.0
A Choudhary,5.0,108.0,5,8.0,28.8,21.6,0.0,0.0
A Dananjaya,0.0,25.0,1,11.28,470000.0,250000.0,0.0,0.0
A Flintoff,2.0,66.0,3,9.64,53.0,33.0,3.0,0.0
A Kumble,45.0,983.0,42,6.65,24.2,21.84,9.0,0.0
A Manohar,0.0,0.0,7,0.0,0.0,0.0,4.0,0.0
A Mishra,166.0,3317.0,154,7.28,24.23,19.98,18.0,0.0
A Mithun,7.0,312.0,16,9.17,68.14,44.57,7.0,0.0
A Mukund,0.0,0.0,2,0.0,0.0,0.0,3.0,0.0
A Nehra,106.0,1974.0,88,7.71,23.93,18.62,17.0,0.0
A Nortje,43.0,706.0,30,8.04,22.0,16.42,7.0,0.0
A Singh,28.0,486.0,23,7.89,22.82,17.36,1.0,0.0
A Symonds,20.0,540.0,36,7.71,34.7,27.0,20.0,0.0
A Tomar,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
A Uniyal,2.0,38.0,2,10.58,33.5,19.0,0.0,0.0
A Zampa,21.0,292.0,14,7.66,17.76,13.9,1.0,0.0
AA Bilakhia,0.0,0.0,7,0.0,0.0,0.0,1.0,0.0
AA Chavan,8.0,255.0,13,7.98,42.37,31.87,3.0,0.0
AA Jhunjhunwala,1.0,88.0,18,8.86,129.99,87.99,10.0,0.0
AA Noffke,1.0,25.0,1,9.84,41.0,25.0,0.0,0.0
AB Agarkar,29.0,820.0,42,8.59,40.48,28.28,4.0,0.0
AB Barath,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0
AB Dinda,69.0,1589.0,76,7.94,30.48,23.03,7.0,0.0
AB McDonald,11.0,188.0,10,8.39,23.91,17.09,0.0,0.0
AB de Villiers,0.0,0.0,170,0.0,0.0,0.0,120.0,8.0
AC Blizzard,0.0,0.0,7,0.0,0.0,0.0,4.0,0.0
AC Gilchrist,1.0,1.0,80,0.0,0.0,1.0,51.0,16.0
AC Thomas,14.0,327.0,15,7.63,29.71,23.36,3.0,0.0
AC Voges,0.0,56.0,8,8.14,760000.0,560000.0,1.0,0.0
AD Hales,0.0,0.0,6,0.0,0.0,0.0,2.0,0.0
AD Mascarenhas,19.0,310.0,13,7.06,19.21,16.32,2.0,0.0
AD Mathews,27.0,807.0,46,8.14,40.56,29.89,19.0,0.0
AD Nath,0.0,0.0,10,0.0,0.0,0.0,2.0,0.0
AD Russell,89.0,1484.0,95,8.95,24.88,16.67,23.0,0.0
AF Milne,7.0,217.0,10,9.37,48.43,31.0,7.0,0.0
AG Murtaza,9.0,269.0,12,7.18,35.78,29.89,3.0,0.0
AG Paunikar,0.0,0.0,5,0.0,0.0,0.0,1.0,0.0
AJ Finch,1.0,44.0,90,9.14,66.99,44.0,29.0,0.0
AJ Turner,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0
AJ Tye,42.0,714.0,30,8.45,23.93,17.0,7.0,0.0
AK Markram,1.0,61.0,19,8.56,86.99,60.99,9.0,0.0
AL Menaria,3.0,113.0,25,7.65,48.0,37.67,4.0,0.0
AM Nayar,9.0,239.0,51,8.11,35.89,26.56,13.0,0.0
AM Rahane,1.0,6.0,148,5.0,5.0,6.0,63.0,0.0
AN Ahmed,12.0,362.0,17,8.54,42.92,30.17,2.0,0.0
AN Ghosh,0.0,0.0,2,0.0,0.0,0.0,1.0,0.0
AP Dole,5.0,73.0,3,9.37,22.8,14.6,2.0,0.0
AP Majumdar,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0
AP Tare,0.0,0.0,27,0.0,0.0,0.0,3.0,6.0
AR Bawne,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
AR Patel,101.0,2599.0,122,7.25,31.09,25.73,51.0,0.0
AS Joseph,13.0,240.0,12,8.95,27.54,18.46,1.0,0.0
AS Rajpoot,24.0,567.0,29,8.93,35.17,23.62,3.0,0.0
AS Raut,0.0,30.0,17,9.0,450000.0,300000.0,10.0,0.0
AS Roy,2.0,57.0,3,6.95,33.0,28.5,5.0,0.0
AS Yadav,0.0,0.0,6,0.0,0.0,0.0,1.0,0.0
AT Carey,0.0,0.0,3,0.0,0.0,0.0,2.0,0.0
AT Rayudu,0.0,0.0,173,0.0,0.0,0.0,62.0,2.0
AUK Pathan,0.0,41.0,7,9.22,630000.0,410000.0,2.0,0.0
Abdul Samad,2.0,55.0,19,12.33,56.5,27.5,14.0,0.0
Abdur Razzak,0.0,14.0,1,12.43,290000.0,140000.0,0.0,0.0
Abhishek Sharma,7.0,161.0,36,8.12,31.14,23.0,6.0,0.0
Akash Deep,5.0,119.0,5,10.39,41.2,23.8,1.0,0.0
Aman Hakim Khan,0.0,6.0,1,13.0,130000.0,60000.0,0.0,0.0
Anirudh Singh,0.0,0.0,4,0.0,0.0,0.0,3.0,0.0
Ankit Sharma,12.0,375.0,21,7.25,37.75,31.25,4.0,0.0
Ankit Soni,2.0,112.0,6,7.77,72.5,56.0,1.0,0.0
Anmolpreet Singh,0.0,0.0,3,0.0,0.0,0.0,1.0,0.0
Anuj Rawat,0.0,0.0,9,0.0,0.0,0.0,10.0,0.0
Anureet Singh,18.0,430.0,22,8.87,35.33,23.89,5.0,0.0
Arshdeep Singh,40.0,803.0,37,8.11,27.15,20.07,6.0,0.0
Avesh Khan,47.0,868.0,38,8.23,25.32,18.47,6.0,0.0
