Title,Year,Genre,Director
Batman Begins,2005,"Action, Crime, Drama",Christopher Nolan
The Batman,2022,"Action, Crime, Drama",Matt Reeves
Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Sci-Fi",Zack Snyder
Batman,1989,"Action, Adventure",Tim Burton
Batman Returns,1992,"Action, Crime, Fantasy",Tim Burton
Batman & Robin,1997,"Action, Sci-Fi",Joel Schumacher
Batman Forever,1995,"Action, Adventure",Joel Schumacher
The Lego Batman Movie,2017,"Animation, Action, Adventure",Chris McKay
Batman: The Animated Series,1992–1995,"Animation, Action, Adventure",N/A
Batman v Superman: Dawn of Justice (Ultimate Edition),2016,"Action, Adventure, Sci-Fi",Zack Snyder
